No,Rule,Usia,Berat,Keliling,Ukuran Batang,Jarak Duri,Keterangan
1,R1,Tinggi,Tinggi,Tinggi,Tinggi,Tinggi,Masak
2,R2,Tinggi,Tinggi,Tinggi,Tinggi,Rendah,Masak
3,R3,Tinggi,Tinggi,Tinggi,Rendah,Tinggi,Masak
4,R4,Tinggi,Tinggi,Tinggi,Rendah,Rendah,Masak
5,R5,Tinggi,Tinggi,Rendah,Tinggi,Tinggi,Masak
6,R6,Tinggi,Tinggi,Rendah,Tinggi,Rendah,Masak
7,R7,Tinggi,Tinggi,Rendah,Rendah,Tinggi,Masak
8,R8,Tinggi,Tinggi,Rendah,Rendah,Rendah,Mentah
9,R9,Tinggi,Rendah,Tinggi,Tinggi,Tinggi,Masak
10,R10,Tinggi,Rendah,Tinggi,Tinggi,Rendah,Masak
11,R11,Tinggi,Rendah,Tinggi,Rendah,Tinggi,Masak
12,R12,Tinggi,Rendah,Tinggi,Rendah,Rendah,Masak
13,R13,Tinggi,Rendah,Rendah,Tinggi,Tinggi,Masak
14,R14,Tinggi,Rendah,Rendah,Tinggi,Rendah,Masak
15,R15,Tinggi,Rendah,Rendah,Rendah,Tinggi,Masak
16,R16,Tinggi,Rendah,Rendah,Rendah,Rendah,Masak
17,R17,Rendah,Tinggi,Tinggi,Tinggi,Tinggi,Mentah
18,R18,Rendah,Tinggi,Tinggi,Tinggi,Rendah,Mentah
19,R19,Rendah,Tinggi,Tinggi,Rendah,Tinggi,Mentah
20,R20,Rendah,Tinggi,Tinggi,Rendah,Rendah,Mentah
21,R21,Rendah,Tinggi,Rendah,Tinggi,Tinggi,Mentah
22,R22,Rendah,Tinggi,Rendah,Tinggi,Rendah,Mentah
23,R23,Rendah,Tinggi,Rendah,Rendah,Tinggi,Mentah
24,R24,Rendah,Tinggi,Rendah,Rendah,Rendah,Mentah
25,R25,Rendah,Rendah,Tinggi,Tinggi,Tinggi,Masak
26,R26,Rendah,Rendah,Tinggi,Tinggi,Rendah,Mentah
27,R27,Rendah,Rendah,Tinggi,Rendah,Tinggi,Mentah
28,R28,Rendah,Rendah,Tinggi,Rendah,Rendah,Mentah
29,R29,Rendah,Rendah,Rendah,Tinggi,Tinggi,Mentah
30,R30,Rendah,Rendah,Rendah,Tinggi,Rendah,Mentah
31,R31,Rendah,Rendah,Rendah,Rendah,Tinggi,Mentah
32,R32,Rendah,Rendah,Rendah,Rendah,Rendah,Mentah
